PSTAR: Stopping Powers and Range Tables for Protons

WATER, LIQUID                                                           

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 1.769E+02 
1.500E-03 1.984E+02 
2.000E-03 2.184E+02 
2.500E-03 2.370E+02 
3.000E-03 2.544E+02 
4.000E-03 2.864E+02 
5.000E-03 3.153E+02 
6.000E-03 3.420E+02 
7.000E-03 3.667E+02 
8.000E-03 3.900E+02 
9.000E-03 4.120E+02 
1.000E-02 4.329E+02 
1.250E-02 4.745E+02 
1.500E-02 5.110E+02 
1.750E-02 5.437E+02 
2.000E-02 5.733E+02 
2.250E-02 6.001E+02 
2.500E-02 6.245E+02 
2.750E-02 6.467E+02 
3.000E-02 6.671E+02 
3.500E-02 7.028E+02 
4.000E-02 7.324E+02 
4.500E-02 7.569E+02 
5.000E-02 7.768E+02 
5.500E-02 7.927E+02 
6.000E-02 8.050E+02 
6.500E-02 8.142E+02 
7.000E-02 8.205E+02 
7.500E-02 8.243E+02 
8.000E-02 8.260E+02 
8.500E-02 8.258E+02 
9.000E-02 8.239E+02 
9.500E-02 8.206E+02 
1.000E-01 8.161E+02 
1.250E-01 7.814E+02 
1.500E-01 7.371E+02 
1.750E-01 6.969E+02 
2.000E-01 6.613E+02 
2.250E-01 6.294E+02 
2.500E-01 6.006E+02 
2.750E-01 5.744E+02 
3.000E-01 5.504E+02 
3.500E-01 5.080E+02 
4.000E-01 4.719E+02 
4.500E-01 4.406E+02 
5.000E-01 4.132E+02 
5.500E-01 3.891E+02 
6.000E-01 3.680E+02 
6.500E-01 3.492E+02 
7.000E-01 3.325E+02 
7.500E-01 3.175E+02 
8.000E-01 3.039E+02 
8.500E-01 2.917E+02 
9.000E-01 2.805E+02 
9.500E-01 2.702E+02 
1.000E+00 2.608E+02 
1.250E+00 2.229E+02 
1.500E+00 1.957E+02 
1.750E+00 1.749E+02 
2.000E+00 1.586E+02 
2.250E+00 1.454E+02 
2.500E+00 1.344E+02 
2.750E+00 1.251E+02 
3.000E+00 1.172E+02 
3.500E+00 1.042E+02 
4.000E+00 9.404E+01 
4.500E+00 8.586E+01 
5.000E+00 7.911E+01 
5.500E+00 7.343E+01 
6.000E+00 6.858E+01 
6.500E+00 6.438E+01 
7.000E+00 6.071E+01 
7.500E+00 5.747E+01 
8.000E+00 5.460E+01 
8.500E+00 5.202E+01 
9.000E+00 4.969E+01 
9.500E+00 4.759E+01 
1.000E+01 4.567E+01 
1.250E+01 3.815E+01 
1.500E+01 3.292E+01 
1.750E+01 2.905E+01 
2.000E+01 2.607E+01 
2.500E+01 2.175E+01 
2.750E+01 2.013E+01 
3.000E+01 1.876E+01 
3.500E+01 1.656E+01 
4.000E+01 1.488E+01 
4.500E+01 1.354E+01 
5.000E+01 1.245E+01 
5.500E+01 1.154E+01 
6.000E+01 1.078E+01 
6.500E+01 1.013E+01 
7.000E+01 9.559E+00 
7.500E+01 9.063E+00 
8.000E+01 8.625E+00 
8.500E+01 8.236E+00 
9.000E+01 7.888E+00 
9.500E+01 7.573E+00 
1.000E+02 7.289E+00 
1.250E+02 6.192E+00 
1.500E+02 5.445E+00 
1.750E+02 4.903E+00 
2.000E+02 4.492E+00 
2.250E+02 4.170E+00 
2.500E+02 3.911E+00 
2.750E+02 3.698E+00 
3.000E+02 3.520E+00 
3.500E+02 3.241E+00 
4.000E+02 3.032E+00 
4.500E+02 2.871E+00 
5.000E+02 2.743E+00 
5.500E+02 2.640E+00 
6.000E+02 2.556E+00 
6.500E+02 2.485E+00 
7.000E+02 2.426E+00 
7.500E+02 2.376E+00 
8.000E+02 2.333E+00 
8.500E+02 2.296E+00 
9.000E+02 2.264E+00 
9.500E+02 2.236E+00 
1.000E+03 2.211E+00 
1.500E+03 2.070E+00 
2.000E+03 2.021E+00 
2.500E+03 2.004E+00 
3.000E+03 2.001E+00 
4.000E+03 2.012E+00 
5.000E+03 2.031E+00 
6.000E+03 2.052E+00 
7.000E+03 2.072E+00 
8.000E+03 2.091E+00 
9.000E+03 2.109E+00 
1.000E+04 2.126E+00 
