PSTAR: Stopping Powers and Range Tables for Protons

CARBON (amorphous, density 2.0 g/cm3)                                   

Kinetic   Electron. 
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 1.384E+02 
1.500E-03 1.695E+02 
2.000E-03 1.957E+02 
2.500E-03 2.188E+02 
3.000E-03 2.397E+02 
4.000E-03 2.702E+02 
5.000E-03 2.978E+02 
6.000E-03 3.227E+02 
7.000E-03 3.454E+02 
8.000E-03 3.651E+02 
9.000E-03 3.826E+02 
1.000E-02 3.987E+02 
1.250E-02 4.335E+02 
1.500E-02 4.624E+02 
1.750E-02 4.874E+02 
2.000E-02 5.099E+02 
2.250E-02 5.300E+02 
2.500E-02 5.477E+02 
2.750E-02 5.634E+02 
3.000E-02 5.776E+02 
3.500E-02 6.039E+02 
4.000E-02 6.283E+02 
4.500E-02 6.501E+02 
5.000E-02 6.686E+02 
5.500E-02 6.835E+02 
6.000E-02 6.953E+02 
6.500E-02 7.045E+02 
7.000E-02 7.114E+02 
7.500E-02 7.163E+02 
8.000E-02 7.194E+02 
8.500E-02 7.208E+02 
9.000E-02 7.209E+02 
9.500E-02 7.197E+02 
1.000E-01 7.174E+02 
1.250E-01 6.945E+02 
1.500E-01 6.611E+02 
1.750E-01 6.247E+02 
2.000E-01 5.891E+02 
2.250E-01 5.560E+02 
2.500E-01 5.260E+02 
2.750E-01 4.991E+02 
3.000E-01 4.750E+02 
3.500E-01 4.358E+02 
4.000E-01 4.044E+02 
4.500E-01 3.779E+02 
5.000E-01 3.546E+02 
5.500E-01 3.340E+02 
6.000E-01 3.159E+02 
6.500E-01 3.002E+02 
7.000E-01 2.862E+02 
7.500E-01 2.737E+02 
8.000E-01 2.624E+02 
8.500E-01 2.522E+02 
9.000E-01 2.427E+02 
9.500E-01 2.341E+02 
1.000E+00 2.261E+02 
1.250E+00 1.942E+02 
1.500E+00 1.711E+02 
1.750E+00 1.534E+02 
2.000E+00 1.394E+02 
2.250E+00 1.280E+02 
2.500E+00 1.185E+02 
2.750E+00 1.104E+02 
3.000E+00 1.035E+02 
3.500E+00 9.218E+01 
4.000E+00 8.326E+01 
4.500E+00 7.606E+01 
5.000E+00 7.010E+01 
5.500E+00 6.509E+01 
6.000E+00 6.081E+01 
6.500E+00 5.710E+01 
7.000E+00 5.386E+01 
7.500E+00 5.099E+01 
8.000E+00 4.845E+01 
8.500E+00 4.617E+01 
9.000E+00 4.411E+01 
9.500E+00 4.225E+01 
1.000E+01 4.055E+01 
1.250E+01 3.389E+01 
1.500E+01 2.925E+01 
1.750E+01 2.582E+01 
2.000E+01 2.317E+01 
2.500E+01 1.933E+01 
2.750E+01 1.790E+01 
3.000E+01 1.668E+01 
3.500E+01 1.473E+01 
4.000E+01 1.323E+01 
4.500E+01 1.204E+01 
5.000E+01 1.107E+01 
5.500E+01 1.027E+01 
6.000E+01 9.591E+00 
6.500E+01 9.010E+00 
7.000E+01 8.506E+00 
7.500E+01 8.065E+00 
8.000E+01 7.675E+00 
8.500E+01 7.329E+00 
9.000E+01 7.019E+00 
9.500E+01 6.739E+00 
1.000E+02 6.486E+00 
1.250E+02 5.509E+00 
1.500E+02 4.844E+00 
1.750E+02 4.360E+00 
2.000E+02 3.994E+00 
2.250E+02 3.706E+00 
2.500E+02 3.475E+00 
2.750E+02 3.284E+00 
3.000E+02 3.125E+00 
3.500E+02 2.875E+00 
4.000E+02 2.687E+00 
4.500E+02 2.542E+00 
5.000E+02 2.426E+00 
5.500E+02 2.333E+00 
6.000E+02 2.256E+00 
6.500E+02 2.191E+00 
7.000E+02 2.137E+00 
7.500E+02 2.091E+00 
8.000E+02 2.051E+00 
8.500E+02 2.016E+00 
9.000E+02 1.986E+00 
9.500E+02 1.960E+00 
1.000E+03 1.937E+00 
1.500E+03 1.807E+00 
2.000E+03 1.763E+00 
2.500E+03 1.748E+00 
3.000E+03 1.746E+00 
4.000E+03 1.759E+00 
5.000E+03 1.778E+00 
6.000E+03 1.799E+00 
7.000E+03 1.819E+00 
8.000E+03 1.837E+00 
9.000E+03 1.855E+00 
1.000E+04 1.871E+00 
